Company.Name,Quarter,Closing_Price,EPS,P.E,P.B,Turnover,Debt_to_equity_ratio,Current_ratio,Quick_ratio
Sun Pharmaceutical Inds. Ltd.,Mar-07,1056.45,30.43,34.72,8.36,406.43,1.19,4.61,3.94
Sun Pharmaceutical Inds. Ltd.,Jun-07,1025.5,31.24,32.83,7.44,856.89,0.44,4.19,3.56
Sun Pharmaceutical Inds. Ltd.,Sep-07,964.8,34.8,27.73,6.21,147.73,0.44,4.19,3.56
Sun Pharmaceutical Inds. Ltd.,Dec-07,1203.75,45.11,26.69,6.38,66.16,0.44,4.19,3.56
Sun Pharmaceutical Inds. Ltd.,Mar-08,1229.35,48.94,25.12,6.05,275.44,0.02,2.37,2.02
Sun Pharmaceutical Inds. Ltd.,Jun-08,1400.95,51.61,27.14,6.46,575.45,0.02,2.37,2.02
Sun Pharmaceutical Inds. Ltd.,Sep-08,1483.35,56.84,26.1,6.41,434.65,0.02,2.37,2.02
Sun Pharmaceutical Inds. Ltd.,Dec-08,1064.15,52.53,20.26,4.37,227.64,0.02,2.37,2.02
Sun Pharmaceutical Inds. Ltd.,Mar-09,1111.45,60.91,18.25,4.47,325.82,0,3.45,2.96
Sun Pharmaceutical Inds. Ltd.,Jun-09,1090.55,53.22,20.49,4.28,654.84,0,3.45,2.96
Sun Pharmaceutical Inds. Ltd.,Sep-09,1407.65,48.39,29.09,5.32,1015.85,0,3.45,2.96
Sun Pharmaceutical Inds. Ltd.,Dec-09,1508.8,51.35,29.38,5.39,174.75,0,3.45,2.96
Sun Pharmaceutical Inds. Ltd.,Mar-10,1792,43.36,41.33,6.49,359.29,0.01,4.83,4.06
Sun Pharmaceutical Inds. Ltd.,Jun-10,1785.1,53.07,33.63,6.12,375.03,0.01,4.83,4.06
Sun Pharmaceutical Inds. Ltd.,Sep-10,2020.5,59.96,33.7,6.55,788.73,0.01,4.83,4.06
Sun Pharmaceutical Inds. Ltd.,Dec-10,484.95,12.23,39.65,7.46,374.3,0.01,4.83,4.06
Sun Pharmaceutical Inds. Ltd.,Mar-11,442.5,13.34,33.18,6.86,1196.45,0.01,5.49,4.37
Sun Pharmaceutical Inds. Ltd.,Jun-11,497.9,14.31,34.8,7.26,841.86,0.01,5.49,4.37
Sun Pharmaceutical Inds. Ltd.,Sep-11,462.5,15.2,30.44,6.35,998.91,0.01,5.49,4.37
Sun Pharmaceutical Inds. Ltd.,Dec-11,497.65,15.2,32.75,6.83,207.09,0.01,5.49,4.37
Sun Pharmaceutical Inds. Ltd.,Mar-12,569.95,15.41,36.98,7.47,657.08,0.01,5.49,4.37
Sun Pharmaceutical Inds. Ltd.,Jun-12,635.8,19.25,33.02,8.36,749.57,0.01,3.56,2.89
Sun Pharmaceutical Inds. Ltd.,Sep-12,695.55,17.99,38.66,8.82,1783.81,0.01,3.56,2.89
Sun Pharmaceutical Inds. Ltd.,Dec-12,736.25,14.53,50.65,8.85,143.53,0.01,3.56,2.89
Sun Pharmaceutical Inds. Ltd.,Mar-13,818.95,14.53,56.34,9.84,794.43,0.01,3.56,2.89
Sun Pharmaceutical Inds. Ltd.,Jun-13,1011.55,4.99,202.89,13.45,1813.8,0.01,2.67,1.89
Sun Pharmaceutical Inds. Ltd.,Sep-13,593.3,-0.46,33.1,15.67,1564.21,0.01,2.67,1.89
Sun Pharmaceutical Inds. Ltd.,Dec-13,567.45,-0.4,33.1,14.83,528.69,0.01,2.67,1.89
Sun Pharmaceutical Inds. Ltd.,Mar-14,574.75,0.23,2480.52,16.07,1366.54,0.33,1.29,1.06
Sun Pharmaceutical Inds. Ltd.,Jun-14,687.95,3.89,177.01,17.35,2009.14,0.33,1.29,1.06
Sun Pharmaceutical Inds. Ltd.,Sep-14,857.25,0.52,1654.87,23.6,3442.43,0.33,1.29,1.06
Sun Pharmaceutical Inds. Ltd.,Dec-14,826.55,-7.19,33.1,28.47,1057.7,0.33,1.29,1.06
Sun Pharmaceutical Inds. Ltd.,Mar-15,1023.9,-7.13,33.1,9.33,1981.97,0.3,0.44,0.24
Sun Pharmaceutical Inds. Ltd.,Jun-15,874.6,-10.83,33.1,9.41,3486.18,0.3,0.44,0.24
Sun Pharmaceutical Inds. Ltd.,Sep-15,868.4,-10.45,33.1,9.6,2475.64,0.3,0.44,0.24
Sun Pharmaceutical Inds. Ltd.,Dec-15,820.15,-4.76,33.1,9.12,2113.68,0.3,0.44,0.24
Sun Pharmaceutical Inds. Ltd.,Mar-16,820,-4.23,33.1,9.02,4298.55,0.27,0.54,0.28
Sun Pharmaceutical Inds. Ltd.,Jun-16,763.1,-3.5,33.1,8.45,3479.89,0.27,0.54,0.28
